task,image_id,attribute,image_path,mask_path,image_width,image_height,mask_width,mask_height,size_match,image_error,mask_error,status
task1,001780,,D:\Biology-AI\data\Task1_Segmentation\images\001780.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001780_segmentation.png,1024,768,1024,768,True,,,OK
task1,001781,,D:\Biology-AI\data\Task1_Segmentation\images\001781.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001781_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001782,,D:\Biology-AI\data\Task1_Segmentation\images\001782.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001782_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001783,,D:\Biology-AI\data\Task1_Segmentation\images\001783.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001783_segmentation.png,6642,4420,6642,4420,True,,,OK
task1,001784,,D:\Biology-AI\data\Task1_Segmentation\images\001784.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001784_segmentation.png,722,542,722,542,True,,,OK
task1,001785,,D:\Biology-AI\data\Task1_Segmentation\images\001785.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001785_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001786,,D:\Biology-AI\data\Task1_Segmentation\images\001786.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001786_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001787,,D:\Biology-AI\data\Task1_Segmentation\images\001787.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001787_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001788,,D:\Biology-AI\data\Task1_Segmentation\images\001788.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001788_segmentation.png,1979,1321,1979,1321,True,,,OK
task1,001789,,D:\Biology-AI\data\Task1_Segmentation\images\001789.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001789_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001790,,D:\Biology-AI\data\Task1_Segmentation\images\001790.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001790_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001791,,D:\Biology-AI\data\Task1_Segmentation\images\001791.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001791_segmentation.png,767,576,767,576,True,,,OK
task1,001792,,D:\Biology-AI\data\Task1_Segmentation\images\001792.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001792_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001793,,D:\Biology-AI\data\Task1_Segmentation\images\001793.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001793_segmentation.png,1024,768,1024,768,True,,,OK
task1,001794,,D:\Biology-AI\data\Task1_Segmentation\images\001794.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001794_segmentation.png,6621,4441,6621,4441,True,,,OK
task1,001795,,D:\Biology-AI\data\Task1_Segmentation\images\001795.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001795_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001796,,D:\Biology-AI\data\Task1_Segmentation\images\001796.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001796_segmentation.png,1024,768,1024,768,True,,,OK
task1,001797,,D:\Biology-AI\data\Task1_Segmentation\images\001797.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001797_segmentation.png,640,480,640,480,True,,,OK
task1,001798,,D:\Biology-AI\data\Task1_Segmentation\images\001798.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001798_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001799,,D:\Biology-AI\data\Task1_Segmentation\images\001799.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001799_segmentation.png,1502,1051,1502,1051,True,,,OK
task1,001800,,D:\Biology-AI\data\Task1_Segmentation\images\001800.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001800_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001801,,D:\Biology-AI\data\Task1_Segmentation\images\001801.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001801_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001802,,D:\Biology-AI\data\Task1_Segmentation\images\001802.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001802_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001803,,D:\Biology-AI\data\Task1_Segmentation\images\001803.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001803_segmentation.png,1024,768,1024,768,True,,,OK
task1,001804,,D:\Biology-AI\data\Task1_Segmentation\images\001804.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001804_segmentation.png,1213,1307,1213,1307,True,,,OK
task1,001805,,D:\Biology-AI\data\Task1_Segmentation\images\001805.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001805_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001806,,D:\Biology-AI\data\Task1_Segmentation\images\001806.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001806_segmentation.png,6688,4439,6688,4439,True,,,OK
task1,001807,,D:\Biology-AI\data\Task1_Segmentation\images\001807.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001807_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001808,,D:\Biology-AI\data\Task1_Segmentation\images\001808.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001808_segmentation.png,1024,768,1024,768,True,,,OK
task1,001809,,D:\Biology-AI\data\Task1_Segmentation\images\001809.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001809_segmentation.png,767,576,767,576,True,,,OK
task1,001810,,D:\Biology-AI\data\Task1_Segmentation\images\001810.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001810_segmentation.png,6688,4439,6688,4439,True,,,OK
task1,001811,,D:\Biology-AI\data\Task1_Segmentation\images\001811.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001811_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001812,,D:\Biology-AI\data\Task1_Segmentation\images\001812.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001812_segmentation.png,1045,705,1045,705,True,,,OK
task1,001813,,D:\Biology-AI\data\Task1_Segmentation\images\001813.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001813_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001814,,D:\Biology-AI\data\Task1_Segmentation\images\001814.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001814_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001815,,D:\Biology-AI\data\Task1_Segmentation\images\001815.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001815_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001816,,D:\Biology-AI\data\Task1_Segmentation\images\001816.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001816_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001817,,D:\Biology-AI\data\Task1_Segmentation\images\001817.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001817_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001818,,D:\Biology-AI\data\Task1_Segmentation\images\001818.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001818_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001819,,D:\Biology-AI\data\Task1_Segmentation\images\001819.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001819_segmentation.png,6661,4461,6661,4461,True,,,OK
task1,001820,,D:\Biology-AI\data\Task1_Segmentation\images\001820.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001820_segmentation.png,6642,4401,6642,4401,True,,,OK
task1,001821,,D:\Biology-AI\data\Task1_Segmentation\images\001821.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001821_segmentation.png,6688,4439,6688,4439,True,,,OK
task1,001822,,D:\Biology-AI\data\Task1_Segmentation\images\001822.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001822_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001823,,D:\Biology-AI\data\Task1_Segmentation\images\001823.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001823_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001824,,D:\Biology-AI\data\Task1_Segmentation\images\001824.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001824_segmentation.png,6621,4401,6621,4401,True,,,OK
task1,001825,,D:\Biology-AI\data\Task1_Segmentation\images\001825.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001825_segmentation.png,958,642,958,642,True,,,OK
task1,001826,,D:\Biology-AI\data\Task1_Segmentation\images\001826.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001826_segmentation.png,1024,768,1024,768,True,,,OK
task1,001827,,D:\Biology-AI\data\Task1_Segmentation\images\001827.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001827_segmentation.png,6688,4439,6688,4439,True,,,OK
task1,001828,,D:\Biology-AI\data\Task1_Segmentation\images\001828.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001828_segmentation.png,1024,768,1024,768,True,,,OK
task1,001829,,D:\Biology-AI\data\Task1_Segmentation\images\001829.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001829_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001830,,D:\Biology-AI\data\Task1_Segmentation\images\001830.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001830_segmentation.png,6681,4422,6681,4422,True,,,OK
task1,001831,,D:\Biology-AI\data\Task1_Segmentation\images\001831.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001831_segmentation.png,6708,4439,6708,4439,True,,,OK
task1,001832,,D:\Biology-AI\data\Task1_Segmentation\images\001832.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001832_segmentation.png,6688,4419,6688,4419,True,,,OK
task1,001833,,D:\Biology-AI\data\Task1_Segmentation\images\001833.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001833_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001834,,D:\Biology-AI\data\Task1_Segmentation\images\001834.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001834_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001835,,D:\Biology-AI\data\Task1_Segmentation\images\001835.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001835_segmentation.png,1024,768,1024,768,True,,,OK
task1,001836,,D:\Biology-AI\data\Task1_Segmentation\images\001836.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001836_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001837,,D:\Biology-AI\data\Task1_Segmentation\images\001837.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001837_segmentation.png,1024,768,1024,768,True,,,OK
task1,001838,,D:\Biology-AI\data\Task1_Segmentation\images\001838.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001838_segmentation.png,1024,768,1024,768,True,,,OK
task1,001839,,D:\Biology-AI\data\Task1_Segmentation\images\001839.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001839_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001840,,D:\Biology-AI\data\Task1_Segmentation\images\001840.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001840_segmentation.png,1024,768,1024,768,True,,,OK
task1,001841,,D:\Biology-AI\data\Task1_Segmentation\images\001841.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001841_segmentation.png,1024,768,1024,768,True,,,OK
task1,001842,,D:\Biology-AI\data\Task1_Segmentation\images\001842.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001842_segmentation.png,2155,1958,2155,1958,True,,,OK
task1,001843,,D:\Biology-AI\data\Task1_Segmentation\images\001843.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001843_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001844,,D:\Biology-AI\data\Task1_Segmentation\images\001844.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001844_segmentation.png,1024,768,1024,768,True,,,OK
task1,001845,,D:\Biology-AI\data\Task1_Segmentation\images\001845.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001845_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001846,,D:\Biology-AI\data\Task1_Segmentation\images\001846.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001846_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001847,,D:\Biology-AI\data\Task1_Segmentation\images\001847.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001847_segmentation.png,640,480,640,480,True,,,OK
task1,001848,,D:\Biology-AI\data\Task1_Segmentation\images\001848.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001848_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001849,,D:\Biology-AI\data\Task1_Segmentation\images\001849.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001849_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,001850,,D:\Biology-AI\data\Task1_Segmentation\images\001850.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001850_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001851,,D:\Biology-AI\data\Task1_Segmentation\images\001851.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001851_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001852,,D:\Biology-AI\data\Task1_Segmentation\images\001852.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001852_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001853,,D:\Biology-AI\data\Task1_Segmentation\images\001853.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001853_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001854,,D:\Biology-AI\data\Task1_Segmentation\images\001854.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001854_segmentation.png,1502,1051,1502,1051,True,,,OK
task1,001855,,D:\Biology-AI\data\Task1_Segmentation\images\001855.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001855_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001856,,D:\Biology-AI\data\Task1_Segmentation\images\001856.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001856_segmentation.png,1024,768,1024,768,True,,,OK
task1,001857,,D:\Biology-AI\data\Task1_Segmentation\images\001857.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001857_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001858,,D:\Biology-AI\data\Task1_Segmentation\images\001858.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001858_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001859,,D:\Biology-AI\data\Task1_Segmentation\images\001859.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001859_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001860,,D:\Biology-AI\data\Task1_Segmentation\images\001860.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001860_segmentation.png,6641,4441,6641,4441,True,,,OK
task1,001861,,D:\Biology-AI\data\Task1_Segmentation\images\001861.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001861_segmentation.png,1024,768,1024,768,True,,,OK
task1,001862,,D:\Biology-AI\data\Task1_Segmentation\images\001862.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001862_segmentation.png,2816,2112,2816,2112,True,,,OK
task1,001863,,D:\Biology-AI\data\Task1_Segmentation\images\001863.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001863_segmentation.png,6688,4459,6688,4459,True,,,OK
task1,001864,,D:\Biology-AI\data\Task1_Segmentation\images\001864.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001864_segmentation.png,6681,4461,6681,4461,True,,,OK
task1,001865,,D:\Biology-AI\data\Task1_Segmentation\images\001865.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001865_segmentation.png,6621,4401,6621,4401,True,,,OK
task1,001866,,D:\Biology-AI\data\Task1_Segmentation\images\001866.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001866_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001867,,D:\Biology-AI\data\Task1_Segmentation\images\001867.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001867_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001868,,D:\Biology-AI\data\Task1_Segmentation\images\001868.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001868_segmentation.png,919,802,919,802,True,,,OK
task1,001869,,D:\Biology-AI\data\Task1_Segmentation\images\001869.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001869_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001870,,D:\Biology-AI\data\Task1_Segmentation\images\001870.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001870_segmentation.png,640,480,640,480,True,,,OK
task1,001871,,D:\Biology-AI\data\Task1_Segmentation\images\001871.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001871_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001872,,D:\Biology-AI\data\Task1_Segmentation\images\001872.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001872_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001873,,D:\Biology-AI\data\Task1_Segmentation\images\001873.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001873_segmentation.png,1024,768,1024,768,True,,,OK
task1,001874,,D:\Biology-AI\data\Task1_Segmentation\images\001874.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001874_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001875,,D:\Biology-AI\data\Task1_Segmentation\images\001875.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001875_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001876,,D:\Biology-AI\data\Task1_Segmentation\images\001876.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001876_segmentation.png,2592,1944,2592,1944,True,,,OK
task1,001877,,D:\Biology-AI\data\Task1_Segmentation\images\001877.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001877_segmentation.png,6601,4380,6601,4380,True,,,OK
task1,001878,,D:\Biology-AI\data\Task1_Segmentation\images\001878.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001878_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001879,,D:\Biology-AI\data\Task1_Segmentation\images\001879.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001879_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001880,,D:\Biology-AI\data\Task1_Segmentation\images\001880.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001880_segmentation.png,640,480,640,480,True,,,OK
task1,001881,,D:\Biology-AI\data\Task1_Segmentation\images\001881.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001881_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001882,,D:\Biology-AI\data\Task1_Segmentation\images\001882.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001882_segmentation.png,1024,768,1024,768,True,,,OK
task1,001883,,D:\Biology-AI\data\Task1_Segmentation\images\001883.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001883_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001884,,D:\Biology-AI\data\Task1_Segmentation\images\001884.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001884_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001885,,D:\Biology-AI\data\Task1_Segmentation\images\001885.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001885_segmentation.png,1502,1026,1502,1026,True,,,OK
task1,001886,,D:\Biology-AI\data\Task1_Segmentation\images\001886.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001886_segmentation.png,2721,2157,2721,2157,True,,,OK
task1,001887,,D:\Biology-AI\data\Task1_Segmentation\images\001887.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001887_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001888,,D:\Biology-AI\data\Task1_Segmentation\images\001888.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001888_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001889,,D:\Biology-AI\data\Task1_Segmentation\images\001889.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001889_segmentation.png,722,545,722,545,True,,,OK
task1,001890,,D:\Biology-AI\data\Task1_Segmentation\images\001890.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001890_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,001891,,D:\Biology-AI\data\Task1_Segmentation\images\001891.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001891_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001892,,D:\Biology-AI\data\Task1_Segmentation\images\001892.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001892_segmentation.png,1024,768,1024,768,True,,,OK
task1,001893,,D:\Biology-AI\data\Task1_Segmentation\images\001893.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001893_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,001894,,D:\Biology-AI\data\Task1_Segmentation\images\001894.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001894_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,001895,,D:\Biology-AI\data\Task1_Segmentation\images\001895.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001895_segmentation.png,1024,768,1024,768,True,,,OK
task1,001896,,D:\Biology-AI\data\Task1_Segmentation\images\001896.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001896_segmentation.png,1024,768,1024,768,True,,,OK
task1,001897,,D:\Biology-AI\data\Task1_Segmentation\images\001897.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001897_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001898,,D:\Biology-AI\data\Task1_Segmentation\images\001898.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001898_segmentation.png,6688,4459,6688,4459,True,,,OK
task1,001899,,D:\Biology-AI\data\Task1_Segmentation\images\001899.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001899_segmentation.png,1024,768,1024,768,True,,,OK
task1,001900,,D:\Biology-AI\data\Task1_Segmentation\images\001900.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001900_segmentation.png,640,480,640,480,True,,,OK
task1,001901,,D:\Biology-AI\data\Task1_Segmentation\images\001901.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001901_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,001902,,D:\Biology-AI\data\Task1_Segmentation\images\001902.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001902_segmentation.png,6602,4380,6602,4380,True,,,OK
task1,001903,,D:\Biology-AI\data\Task1_Segmentation\images\001903.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001903_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,001904,,D:\Biology-AI\data\Task1_Segmentation\images\001904.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001904_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,001905,,D:\Biology-AI\data\Task1_Segmentation\images\001905.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001905_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,001906,,D:\Biology-AI\data\Task1_Segmentation\images\001906.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001906_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001907,,D:\Biology-AI\data\Task1_Segmentation\images\001907.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001907_segmentation.png,1024,768,1024,768,True,,,OK
task1,001908,,D:\Biology-AI\data\Task1_Segmentation\images\001908.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001908_segmentation.png,640,480,640,480,True,,,OK
task1,001909,,D:\Biology-AI\data\Task1_Segmentation\images\001909.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001909_segmentation.png,2592,1944,2592,1944,True,,,OK
task1,001910,,D:\Biology-AI\data\Task1_Segmentation\images\001910.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001910_segmentation.png,1024,768,1024,768,True,,,OK
task1,001911,,D:\Biology-AI\data\Task1_Segmentation\images\001911.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001911_segmentation.png,767,576,767,576,True,,,OK
task1,001912,,D:\Biology-AI\data\Task1_Segmentation\images\001912.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001912_segmentation.png,6662,4422,6662,4422,True,,,OK
task1,001913,,D:\Biology-AI\data\Task1_Segmentation\images\001913.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001913_segmentation.png,640,480,640,480,True,,,OK
task1,001914,,D:\Biology-AI\data\Task1_Segmentation\images\001914.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001914_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001915,,D:\Biology-AI\data\Task1_Segmentation\images\001915.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001915_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001916,,D:\Biology-AI\data\Task1_Segmentation\images\001916.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001916_segmentation.png,640,480,640,480,True,,,OK
task1,001917,,D:\Biology-AI\data\Task1_Segmentation\images\001917.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001917_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001918,,D:\Biology-AI\data\Task1_Segmentation\images\001918.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001918_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001919,,D:\Biology-AI\data\Task1_Segmentation\images\001919.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001919_segmentation.png,1024,768,1024,768,True,,,OK
task1,001920,,D:\Biology-AI\data\Task1_Segmentation\images\001920.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001920_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001921,,D:\Biology-AI\data\Task1_Segmentation\images\001921.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001921_segmentation.png,640,480,640,480,True,,,OK
task1,001922,,D:\Biology-AI\data\Task1_Segmentation\images\001922.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001922_segmentation.png,6622,4420,6622,4420,True,,,OK
task1,001923,,D:\Biology-AI\data\Task1_Segmentation\images\001923.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001923_segmentation.png,1024,768,1024,768,True,,,OK
task1,001924,,D:\Biology-AI\data\Task1_Segmentation\images\001924.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001924_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,001925,,D:\Biology-AI\data\Task1_Segmentation\images\001925.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001925_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001926,,D:\Biology-AI\data\Task1_Segmentation\images\001926.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001926_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001927,,D:\Biology-AI\data\Task1_Segmentation\images\001927.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001927_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,001928,,D:\Biology-AI\data\Task1_Segmentation\images\001928.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001928_segmentation.png,1024,768,1024,768,True,,,OK
task1,001929,,D:\Biology-AI\data\Task1_Segmentation\images\001929.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001929_segmentation.png,1024,768,1024,768,True,,,OK
task1,001930,,D:\Biology-AI\data\Task1_Segmentation\images\001930.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001930_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,001931,,D:\Biology-AI\data\Task1_Segmentation\images\001931.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\001931_segmentation.png,4288,2848,4288,2848,True,,,OK
